model,source_token_count,target_token_count,expansion_ratio,avg_word_length,subword_fragmentation,unknown_token_rate,sentence_id
IndicTrans2,30,137,4.567,5.19,0.0,0.066,1
IndicTrans2,47,246,5.234,7.55,0.0,0.057,2
IndicTrans2,34,230,6.765,7.13,0.0,0.026,3
IndicTrans2,62,329,5.306,6.91,0.0,0.064,4
IndicTrans2,40,209,5.225,6.55,0.005,0.077,5
IndicTrans2,34,171,5.029,6.35,0.0,0.047,6
IndicTrans2,13,51,3.923,5.36,0.0,0.059,7
IndicTrans2,27,157,5.815,7.14,0.0,0.057,8
IndicTrans2,18,94,5.222,6.73,0.0,0.064,9
IndicTrans2,17,93,5.471,7.46,0.0,0.065,10
NLLB-600M,29,36,1.241,5.83,0.083,0.0,1
NLLB-600M,49,66,1.347,7.96,0.106,0.0,2
NLLB-600M,36,29,0.806,8.0,0.103,0.0,3
NLLB-600M,66,92,1.394,7.74,0.098,0.0,4
NLLB-600M,42,55,1.31,8.68,0.091,0.0,5
NLLB-600M,34,44,1.294,7.4,0.159,0.0,6
NLLB-600M,10,12,1.2,5.5,0.0,0.0,7
NLLB-600M,30,44,1.467,7.58,0.091,0.0,8
NLLB-600M,14,31,2.214,7.09,0.097,0.0,9
NLLB-600M,18,25,1.389,9.0,0.12,0.0,10
mT5-base,28,6,0.214,5.67,0.0,0.0,1
mT5-base,50,7,0.14,5.75,0.0,0.0,2
mT5-base,42,7,0.167,6.25,0.0,0.0,3
mT5-base,76,9,0.118,7.75,0.0,0.0,4
mT5-base,48,7,0.146,6.0,0.0,0.0,5
mT5-base,38,7,0.184,6.0,0.0,0.0,6
mT5-base,12,2,0.167,13.0,0.0,0.0,7
mT5-base,30,7,0.233,5.75,0.0,0.0,8
mT5-base,16,5,0.312,9.5,0.0,0.0,9
mT5-base,19,6,0.316,5.67,0.0,0.0,10
OpusMT-mul,26,32,1.231,6.58,0.031,0.0,1
OpusMT-mul,49,65,1.327,5.75,0.0,0.0,2
OpusMT-mul,32,62,1.938,5.97,0.0,0.0,3
OpusMT-mul,60,115,1.917,5.47,0.0,0.0,4
OpusMT-mul,39,76,1.949,5.9,0.013,0.0,5
OpusMT-mul,30,39,1.3,5.57,0.0,0.0,6
OpusMT-mul,10,9,0.9,4.75,0.0,0.0,7
OpusMT-mul,25,33,1.32,5.24,0.0,0.0,8
OpusMT-mul,16,18,1.125,5.7,0.0,0.0,9
OpusMT-mul,15,168,11.2,1.83,0.0,0.0,10
MADLAD-3B,31,51,1.645,7.17,0.078,0.0,1
MADLAD-3B,49,87,1.776,8.0,0.103,0.0,2
MADLAD-3B,37,59,1.595,7.43,0.102,0.0,3
MADLAD-3B,66,100,1.515,6.83,0.07,0.0,4
MADLAD-3B,42,69,1.643,8.3,0.159,0.0,5
MADLAD-3B,36,50,1.389,6.95,0.08,0.0,6
MADLAD-3B,10,17,1.7,5.62,0.118,0.0,7
MADLAD-3B,33,58,1.758,7.95,0.121,0.0,8
MADLAD-3B,19,39,2.053,6.82,0.077,0.0,9
MADLAD-3B,18,24,1.333,7.27,0.042,0.0,10
