model,sentence_id,total_tokens,tamil_tokens,tamil_token_ratio,avg_chars_per_token,unicode_fragmentation,subword_split_rate,memory_footprint_mb
IndicTrans2,1,131,0,0.0,1.0,0.832,0.313,50.2764
IndicTrans2,2,257,0,0.0,0.953,0.883,0.366,193.5029
IndicTrans2,3,195,0,0.0,0.974,0.872,0.338,111.4014
IndicTrans2,4,317,0,0.0,0.953,0.871,0.366,294.4014
IndicTrans2,5,205,0,0.0,0.976,0.868,0.366,123.1201
IndicTrans2,6,181,0,0.0,0.967,0.867,0.354,95.9795
IndicTrans2,7,66,0,0.0,1.091,0.848,0.348,12.7617
IndicTrans2,8,180,0,0.0,0.972,0.85,0.356,94.9219
IndicTrans2,9,80,0,0.0,1.112,0.863,0.375,18.75
IndicTrans2,10,97,0,0.0,1.041,0.856,0.351,27.5654
NLLB-600M,1,36,28,0.778,3.194,0.278,0.194,3.7969
NLLB-600M,2,78,74,0.949,2.936,0.231,0.231,17.8242
NLLB-600M,3,54,50,0.926,3.222,0.222,0.111,8.543
NLLB-600M,4,101,96,0.95,2.832,0.198,0.158,29.8857
NLLB-600M,5,57,47,0.825,3.228,0.211,0.246,9.5186
NLLB-600M,6,55,51,0.927,2.891,0.309,0.255,8.8623
NLLB-600M,7,18,16,0.889,3.111,0.167,0.167,0.9492
NLLB-600M,8,48,45,0.938,3.312,0.292,0.25,6.75
NLLB-600M,9,31,26,0.839,2.355,0.387,0.258,2.8154
NLLB-600M,10,26,23,0.885,3.269,0.115,0.038,1.9805
mT5-base,1,38,28,0.737,3.026,0.158,0.263,4.2305
mT5-base,2,74,67,0.905,3.095,0.176,0.257,16.043
mT5-base,3,51,47,0.922,3.412,0.157,0.137,7.6201
mT5-base,4,101,87,0.861,2.832,0.079,0.129,29.8857
mT5-base,5,58,45,0.776,3.172,0.086,0.224,9.8555
mT5-base,6,53,47,0.887,3.0,0.208,0.208,8.2295
mT5-base,7,18,16,0.889,3.111,0.222,0.333,0.9492
mT5-base,8,51,45,0.882,3.118,0.118,0.196,7.6201
mT5-base,9,26,19,0.731,2.808,0.115,0.154,1.9805
mT5-base,10,25,21,0.84,3.4,0.16,0.2,1.8311
OpusMT-mul,1,122,98,0.803,0.943,0.844,0.385,43.6055
OpusMT-mul,2,246,216,0.878,0.931,0.858,0.378,177.293
OpusMT-mul,3,184,160,0.87,0.946,0.826,0.359,99.1875
OpusMT-mul,4,314,275,0.876,0.911,0.873,0.373,288.8555
OpusMT-mul,5,200,169,0.845,0.92,0.875,0.41,117.1875
OpusMT-mul,6,177,152,0.859,0.898,0.87,0.379,91.7842
OpusMT-mul,7,60,50,0.833,0.933,0.817,0.383,10.5469
OpusMT-mul,8,178,152,0.854,0.893,0.86,0.365,92.8242
OpusMT-mul,9,77,63,0.818,0.948,0.87,0.403,17.3701
OpusMT-mul,10,88,74,0.841,0.966,0.807,0.375,22.6875
MADLAD-3B,1,37,28,0.757,3.108,0.216,0.297,4.0107
MADLAD-3B,2,85,79,0.929,2.694,0.259,0.129,21.167
MADLAD-3B,3,61,56,0.918,2.852,0.213,0.164,10.9014
MADLAD-3B,4,115,101,0.878,2.487,0.191,0.157,38.7451
MADLAD-3B,5,63,51,0.81,2.921,0.143,0.254,11.6279
MADLAD-3B,6,61,55,0.902,2.607,0.279,0.23,10.9014
MADLAD-3B,7,20,17,0.85,2.8,0.15,0.2,1.1719
MADLAD-3B,8,60,49,0.817,2.65,0.267,0.217,10.5469
MADLAD-3B,9,38,28,0.737,1.921,0.395,0.289,4.2305
MADLAD-3B,10,31,28,0.903,2.742,0.258,0.129,2.8154
